feature,weight
_rxn_M_organic,0.22284064254999994
_rxn_M_inorganic,0.2026890112166667
_rxn_M_acid,0.16278635514999998
_feat_ASA-,0.1462271433333333
_feat_BalabanIndex,0.026015300756666658
_feat_LengthPerpendicularToTheMinArea,0.010220196530566664
_feat_CarboaliphaticRingCount,0.019689143921666662
_feat_ASA,0.014605606474166668
_feat_LengthPerpendicularToTheMaxArea,0.0063024171828
_feat_MinimalProjectionArea,0.011799547899166669
_feat_MinimalProjectionRadius,0.008234202703266665
_feat_ChainAtomCount,0.010996980862666667
_feat_Aliphati,0.017302776858333334
tomCount,0.01568603024983333
_feat_AliphaticRingCount,0.003876996975449999
_feat_ASA_H,0.014964411373499999
_feat_Accsitecount,0.007409780928
_feat_AvgPol,0.002151832445216667
_feat_MolPol,0.002605490192716666
_feat_AtomCount_N,0.0005216197371
_feat_Refractivity,0.003069938855395
_feat_minimalprojectionsize,0.011014584865816667
_feat_ASA_P,0.014288575412150001
_feat_msareaASAp,0.0019487017136500002
_feat_fr_amidine,0.0037686584118983343
_rxn_temperatureC_actual_bulk,0.005837663482350001
_feat_molsurfaceareaVDWp,0.002488211809458334
_feat_VanderWaalsVolume,0.0010253428007333332
_feat_maximalprojectionsize,0.00736662993115
_feat_ASA+,0.0016788227569666664
_feat_HyperWienerIndex,0.0007190269260809999
_feat_molsurfaceareaASAp,0.002403391797546666
_feat_AtomCount_C,0.0036637969034
_feat_msareaVDWp,0.0023945734819783336
_feat_fr_NH2,0.0034257941843251665
_feat_MaximalProjectionRadius,0.0013354736999800002
_feat_Hacceptorcount,0.0007799161477216667
_feat_ProtPolarSurfaceArea,0.0006589120964833334
_feat_VanderWaalsSurfaceArea,0.0026590885603465
_feat_HeteroaliphaticRingCount,0.0002805135346833334
_feat_CyclomaticNumber,4.5441510333333334e-07
_feat_LargestRingSize,6.007291472333333e-06
_feat_MaximalProjectionArea,0.0009681161814488332
_feat_donsitecount,0.0004898889380933333
_feat_SmallestRingSize,4.210171323166667e-06
_feat_ChiralCenterCount,0.0
_feat_AromaticAtomCount,0.00018955675718000005
_feat_fr_piperdine,0.0
_feat_fr_Imine,0.00029115716195533326
_feat_fr_pyridine,0.0
_feat_WienerPolarity,0.00040234717075
_feat_donorcount,0.000340678989705
_feat_fr_NH1,9.297686207833333e-05
_feat_fr_guanido,0.0002868781775266667
_rxn_reactiontimeS,0.0
_rxn_stirrateRPM,0.0
_rxn_mixingtime2S,0.0
_feat_acceptorcount,0.0004903523179503333
_feat_HeteroaromaticRin,0.0
ount,0.0
_feat_Hdonorcount,1.2523172538833334e-05
_feat_PolarSurfaceArea,0.0007520571645306666
_feat_fr_ArN,0.0
_feat_fr_NH0,0.0003251755875166667
_feat_CarboRingCount,5.589568605000001e-07
_feat_fr_piperzine,0.0
_feat_fr_dihydropyridine,0.0
_feat_Protpsa,0.0009067364888764998
_feat_RingAtomCount,2.6310634e-08
_feat_WienerIndex,0.0006751440442899998
_feat_BondCount,0.00031916314625166667
_rxn_mixingtime1S,0.0
_feat_CarboaromaticRingCount,2.6706896883333333e-05
_feat_AromaticRingCount,1.1442487933333333e-05
_feat_RotatableBondCount,0.0008333207078500001
_feat_fr_quatN,0.00020188667908333332
_feat_fr_Ar_NH,0.0
